,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
245,246,"The stranger ran his arm down his waistcoat, and as if by a miracle the buttons to which his empty sleeve pointed became undone. Then he said something about his shin, and stooped down. He seemed to be fumbling with his shoes and socks.",NO QUOTE,,,,0,7,1.0,1.0
246,247," said Huxter, suddenly, ",Why! /newquote that s not a man at all. It s just empty clothes. Look! You can see down his collar and the linings of his clothes. I could put my arm ,Huxter,"['The Invisible Man', 'Mr. Hall', 'Jaffers', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Huxter
247,248,"He extended his hand; it seemed to meet something in mid-air, and he drew it back with a sharp exclamation.  /newquote  said the aerial voice, in a tone of savage expostulation. ","I wish you d keep your fingers out of my eye, /newquote The fact is, I m all here head, hands, legs, and all the rest of it, but it happens I m invisible. It s a confounded nuisance, but I am. That s no reason why I should be poked to pieces by every stupid bumpkin in Iping, is it?",The Invisible Man,"['Mr. Hall', 'Jaffers', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Anaphoric,said the aerial voice
248,249,"The suit of clothes, now all unbuttoned and hanging loosely upon its unseen supports, stood up, arms akimbo.",NO QUOTE,,,,0,7,1.0,1.0
249,250,"Several other of the men folks had now entered the room, so that it was closely crowded.  /newquote  said Huxter, ignoring the stranger s abuse. ","Invisible, eh? /newquote Who ever heard the likes of that?",Huxter,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Jaffers', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Huxter
250,251,NO APPEND,"It s strange, perhaps, but it s not a crime. Why am I assaulted by a policeman in this fashion?",The Invisible Man,"['Mr. Teddy Henfrey', 'Mr. Hall', 'Jaffers', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Implicit,
251,252, said Jaffers. ,"Ah! that s a different matter, /newquote No doubt you are a bit difficult to see in this light, but I got a warrant and it s all correct. What I m after ain t no invisibility, it s burglary. There s a house been broke into and money took.",Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
252,253,NO APPEND,Well?,Mr. Teddy Henfrey,['Fearenside'],NO MONOLOGUE,0,7,Explicit,said Teddy Henfrey
253,254,NO APPEND,And circumstances certainly point ,Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Implicit,
254,255, said the Invisible Man.,Stuff and nonsense!,The Invisible Man,"['Mr. Teddy Henfrey', 'Mr. Hall', 'Jaffers', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said the Invisible Man
255,256,NO APPEND,"I hope so, sir; but I ve got my instructions.",Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Implicit,
256,257," said the stranger, ","Well, /newquote I ll come. I ll _come_. But no handcuffs.",The Invisible Man,"['Mr. Teddy Henfrey', 'Mr. Hall', 'Jaffers', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said the stranger
257,258, said Jaffers.,"It s the regular thing,",Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
258,259, stipulated the stranger.,"No handcuffs,",The Invisible Man,"['Mr. Teddy Henfrey', 'Mr. Hall', 'Jaffers', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,stipulated the stranger
259,260, said Jaffers.,"Pardon me,",Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
260,261,"Abruptly the figure sat down, and before any one could realise was was being done, the slippers, socks, and trousers had been kicked off under the table. Then he sprang up again and flung off his coat.",NO QUOTE,,,,0,7,1.0,1.0
261,262," said Jaffers, suddenly realising what was happening. He gripped at the waistcoat; it struggled, and the shirt slipped out of it and left it limp and empty in his hand.  /newquote  said Jaffers, loudly. ","Here, stop that, /newquote Hold him! /newquote Once he gets the things off ",Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
262,263," cried everyone, and there was a rush at the fluttering white shirt which was now all that was visible of the stranger.",Hold him!,Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
263,264,"The shirt-sleeve planted a shrewd blow in Hall s face that stopped his open-armed advance, and sent him backward into old Toothsome the sexton, and in another moment the garment was lifted up and became convulsed and vacantly flapping about the arms, even as a shirt that is being thrust over a man s head. Jaffers clutched at it, and only helped to pull it off; he was struck in the mouth out of the air, and incontinently threw his truncheon and smote Teddy Henfrey savagely upon the crown of his head.",NO QUOTE,,,,0,7,1.0,1.0
264,265," said everybody, fencing at random and hitting at nothing.  /newquote  A perfect Babel of noises they made. Everybody, it seemed, was being hit all at once, and Sandy Wadgers, knowing as ever and his wits sharpened by a frightful blow in the nose, reopened the door and led the rout. The others, following incontinently, were jammed for a moment in the corner by the doorway. The hitting continued. Phipps, the Unitarian, had a front tooth broken, and Henfrey was injured in the cartilage of his ear. Jaffers was struck under the jaw, and, turning, caught at something that intervened between him and Huxter in the m l e, and prevented their coming together. He felt a muscular chest, and in another moment the whole mass of struggling, excited men shot out into the crowded hall.",Look out! /newquote Hold him! Shut the door! Don t let him loose! I got something! Here he is!,Mrs. Hall,['Mr. Hall'],NO MONOLOGUE,0,7,Explicit,said Mrs Hall
265,266," shouted Jaffers, choking and reeling through them all, and wrestling with purple face and swelling veins against his unseen enemy.",I got him!,Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,shouted Jaffers
266,267,"Men staggered right and left as the extraordinary conflict swayed swiftly towards the house door, and went spinning down the half-dozen steps of the inn. Jaffers cried in a strangled voice holding tight, nevertheless, and making play with his knee spun around, and fell heavily undermost with his head on the gravel. Only then did his fingers relax.",NO QUOTE,,,,0,7,1.0,1.0
267,268,"There were excited cries of  /newquote   /newquote  and so forth, and a young fellow, a stranger in the place whose name did not come to light, rushed in at once, caught something, missed his hold, and fell over the constable s prostrate body. Half-way across the road a woman screamed as something pushed by her; a dog, kicked apparently, yelped and ran howling into Huxter s yard, and with that the transit of the Invisible Man was accomplished. For a space people stood amazed and gesticulating, and then came panic, and scattered them abroad through the village as a gust scatters dead leaves.",Hold him! /newquote Invisible!,Jaffers,"['Mr. Teddy Henfrey', 'The Invisible Man', 'Mr. Hall', 'Huxter', 'Mr. Sandy Wadgers']",NO MONOLOGUE,0,7,Explicit,said Jaffers
268,269,"But Jaffers lay quite still, face upward and knees bent, at the foot of the steps of the inn.",NO QUOTE,,,,0,7,1.0,1.0
269,270,IN TRANSIT,NO QUOTE,,,,0,8,1.0,1.0
270,271,"The eighth chapter is exceedingly brief, and relates that Gibbons, the amateur naturalist of the district, while lying out on the spacious open downs without a soul within a couple of miles of him, as he thought, and almost dozing, heard close to him the sound as of a man coughing, sneezing, and then swearing savagely to himself; and looking, beheld nothing. Yet the voice was indisputable. It continued to swear with that breadth and variety that distinguishes the swearing of a cultivated man. It grew to a climax, diminished again, and died away in the distance, going as it seemed to him in the direction of Adderdean. It lifted to a spasmodic sneeze and ended. Gibbons had heard nothing of the morning s occurrences, but the phenomenon was so striking and disturbing that his philosophical tranquillity vanished; he got up hastily, and hurried down the steepness of the hill towards the village, as fast as he could go.",NO QUOTE,,,,0,8,1.0,1.0
271,272,MR. THOMAS MARVEL,NO QUOTE,,,,0,9,1.0,1.0
272,273,"You must picture Mr. Thomas Marvel as a person of copious, flexible visage, a nose of cylindrical protrusion, a liquorish, ample, fluctuating mouth, and a beard of bristling eccentricity. His figure inclined to embonpoint; his short limbs accentuated this inclination. He wore a furry silk hat, and the frequent substitution of twine and shoe-laces for buttons, apparent at critical points of his costume, marked a man essentially bachelor.",NO QUOTE,,,,0,9,1.0,1.0
273,274,"Mr. Thomas Marvel was sitting with his feet in a ditch by the roadside over the down towards Adderdean, about a mile and a half out of Iping. His feet, save for socks of irregular open-work, were bare, his big toes were broad, and pricked like the ears of a watchful dog. In a leisurely manner he did everything in a leisurely manner he was contemplating trying on a pair of boots. They were the soundest boots he had come across for a long time, but too large for him; whereas the ones he had were, in dry weather, a very comfortable fit, but too thin-soled for damp. Mr. Thomas Marvel hated roomy shoes, but then he hated damp. He had never properly thought out which he hated most, and it was a pleasant day, and there was nothing better to do. So he put the four shoes in a graceful group on the turf and looked at them. And seeing them there among the grass and springing agrimony, it suddenly occurred to him that both pairs were exceedingly ugly to see. He was not at all startled by a voice behind him.",NO QUOTE,,,,0,9,1.0,1.0
274,275, said the Voice.,"They re boots, anyhow,",The Invisible Man,['Mr. Thomas Marvel'],NO MONOLOGUE,0,9,Explicit,said the Voice
275,276," said Mr. Thomas Marvel, with his head on one side regarding them distastefully; ","They are charity boots, /newquote and which is the ugliest pair in the whole blessed universe, I m darned if I know!",Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,9,Explicit,said Mr Thomas Marvel
276,277, said the Voice.,"H m,",The Invisible Man,['Mr. Thomas Marvel'],NO MONOLOGUE,0,9,Explicit,said the Voice
277,278,NO APPEND,"I ve worn worse in fact, I ve worn none. But none so owdacious ugly if you ll allow the expression. I ve been cadging boots in particular for days. Because I was sick of _them_. They re sound enough, of course. But a gentleman on tramp sees such a thundering lot of his boots. And if you ll believe me, I ve raised nothing in the whole blessed country, try as I would, but _them_. Look at  em! And a good country for boots, too, in a general way. But it s just my promiscuous luck. I ve got my boots in this country ten years or more. And then they treat you like this.",Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,9,Implicit,
278,279, said the Voice. ,"It s a beast of a country, /newquote And pigs for people.",The Invisible Man,['Mr. Thomas Marvel'],NO MONOLOGUE,0,9,Explicit,said the Voice
279,280, said Mr. Thomas Marvel. ,Ain t it? /newquote Lord! But them boots! It beats it.,Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,9,Explicit,said Mr Thomas Marvel
280,281,"He turned his head over his shoulder to the right, to look at the boots of his interlocutor with a view to comparisons, and lo! where the boots of his interlocutor should have been were neither legs nor boots. He was irradiated by the dawn of a great amazement.  /newquote  said Mr. Thomas Marvel over his shoulder and coming on all fours. He saw a stretch of empty downs with the wind swaying the remote green-pointed furze bushes.",Where _are_ yer?,Mr. Thomas Marvel,['The Invisible Man'],NO MONOLOGUE,0,9,Explicit,said Mr Thomas Marvel
